GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,AV,COMPACTION,PERMANENT STRAIN (%),CTINDEX,Gmb,AV,VMA,VFB
19,18,1415,6.5,2.958,110,1.9,43.54,2.314,2.958,15.775,81.25
19,18,3322,5.89,7.127,35,2.344,45.28,2.223,7.127,18.796,62.085
19,18,3322,5.89,6.061,50,2.016,60.45,2.249,6.061,17.864,66.073
19,18,3322,5.89,4.028,75,1.572,47.89,2.298,4.028,16.087,74.959
19,18,3322,5.89,3.594,90,1.132,50.595,2.308,3.594,15.707,77.121
19,18,3322,5.89,2.934,110,0.871,29.08,2.324,2.934,15.13,80.608
19,18,3322,6.48,6.937,35,2.763,76.525,2.215,6.937,19.358,64.167
19,18,3322,6.48,5.461,50,1.981,71.875,2.25,5.461,18.079,69.816
19,18,3322,6.48,4.026,75,1.837,64.395,2.284,4.026,16.836,76.089
19,18,3322,6.48,3.595,90,1.44,61.275,2.294,3.595,16.462,78.161
19,18,3322,6.48,2.942,110,1.353,50.675,2.31,2.942,15.896,81.495
19,18,3322,5.27,6.94,35,2.763,55.985,2.256,6.94,17.193,59.635
19,18,3322,5.27,4.305,50,1.981,45.03,2.32,4.305,14.848,71.006
19,18,3322,5.27,4.218,75,1.837,40.165,2.322,4.218,14.77,71.446
19,18,3322,5.27,3.778,90,1.44,32.27,2.332,3.778,14.379,73.727
19,18,3322,5.27,2.841,110,1.353,16.565,2.355,2.841,13.546,79.024
19,18,3322,5.32,6.977,35,2.117,63.86,2.246,6.977,18.01,61.264
19,18,3322,5.32,5.727,50,1.222,54.88,2.276,5.727,16.909,66.13
19,18,3322,5.32,4.009,75,1.923,53.89,2.317,4.009,15.394,73.96
19,18,3322,5.32,3.303,90,0.846,22.55,2.334,3.303,14.773,77.641
19,18,3322,5.32,2.902,110,0.822,42.335,2.344,2.902,14.419,79.873
19,18,3322,6.5,7.14,35,3.011,95.265,2.208,7.14,19.752,63.852
19,18,3322,6.5,5.632,50,2.366,80.065,2.244,5.632,18.449,69.474
19,18,3322,6.5,4.074,75,1.071,72.88,2.281,4.074,17.102,76.18
19,18,3322,6.5,3.253,90,1.571,59.97,2.301,3.253,16.393,80.156
19,18,3322,6.5,3.384,110,1.645,66.755,2.298,3.384,15.519,85.574
26.5,10,822,5.37,7.241,35,2.137,38.79,2.355,7.241,17.177,57.844
26.5,10,822,5.37,5.833,50,1.944,37.08,2.391,5.833,15.92,63.358
26.5,10,822,5.37,4.105,75,1.366,32.35,2.435,4.105,14.376,71.452
26.5,10,822,5.37,3.358,90,1.106,24.26,2.454,3.358,13.709,75.512
26.5,10,822,5.37,2.884,110,1.036,20.01,2.466,2.884,13.287,78.305
26.5,10,822,5.93,6.953,35,2.842,45.35,2.363,6.953,17.053,59.3
26.5,10,822,5.93,6.03,50,1.822,39.79,2.387,6.03,16.231,62.899
26.5,10,822,5.93,4.129,75,1.399,37.46,2.435,4.129,14.536,71.594
26.5,10,822,5.93,3.571,90,1.203,32.465,2.449,3.571,14.038,74.57
26.5,10,822,5.93,2.435,110,1.125,25.685,2.478,2.435,13.025,81.308
26.5,10,822,4.84,7.189,35,1.796,28.79,2.381,7.189,16.049,55.207
26.5,10,822,4.84,5.515,50,1.216,33.67,2.424,5.515,14.535,62.057
26.5,10,822,4.84,3.987,75,1.006,22.625,2.463,3.987,13.152,69.689
26.5,10,822,4.84,3.323,90,0.853,15.69,2.48,3.323,12.552,73.53
26.5,10,822,4.84,2.795,110,0.83,17.62,2.493,2.795,12.075,76.862
26.5,10,822,4.9,7.129,35,1.792,38.14,2.378,7.129,16.134,55.815
26.5,10,822,4.9,5.61,50,1.446,27.705,2.417,5.61,14.762,62.004
26.5,10,822,4.9,4.089,75,1.318,28.24,2.456,4.089,13.389,69.459
26.5,10,822,4.9,3.428,90,0.886,25.455,2.473,3.428,12.792,73.207
26.5,10,822,4.9,3.19,110,0.718,13.285,2.479,3.19,12.577,74.637
26.5,10,822,5.99,7.067,35,2.833,50.455,2.353,7.067,17.397,59.399
26.5,10,822,5.99,5.794,50,2.331,58.42,2.385,5.794,16.267,64.396
26.5,10,822,5.99,3.935,75,1.62,44.1,2.432,3.935,14.614,73.072
26.5,10,822,5.99,3.377,90,1.316,28.86,2.446,3.377,14.118,76.087
26.5,10,822,5.99,2.427,110,1.254,28.115,2.471,2.427,13.274,81.933
26.5,10,1415,5.37,7.254,35,1.797,51.585,2.355,7.254,17.267,57.988
26.5,10,1415,5.37,5.668,50,1.591,71.87,2.395,5.668,15.852,64.26
26.5,10,1415,5.37,4.121,75,1.293,40.84,2.434,4.121,14.472,71.526
26.5,10,1415,5.37,3.469,90,1.066,30.88,2.451,3.469,13.89,75.03
26.5,10,1415,5.37,2.997,110,0.779,25.965,2.463,2.997,13.469,77.762
26.5,10,1415,5.93,6.994,35,2.529,73.345,2.359,6.994,17.272,59.58
26.5,10,1415,5.93,5.809,50,1.768,45.62,2.389,5.809,16.219,64.204
26.5,10,1415,5.93,4.087,75,1.404,51.93,2.432,4.087,14.687,72.173
26.5,10,1415,5.93,3.529,90,1.258,60.13,2.446,3.529,14.191,75.136
26.5,10,1415,5.93,2.917,110,1.168,33.655,2.462,2.917,13.646,78.679
26.5,10,1415,4.84,7.115,35,1.366,43.01,2.375,7.115,16.305,56.375
26.5,10,1415,4.84,5.554,50,1.219,25.33,2.415,5.554,14.899,62.725
26.5,10,1415,4.84,4.079,75,1.049,30.29,2.453,4.079,13.57,69.952
26.5,10,1415,4.84,3.325,90,0.9,23.085,2.472,3.325,12.89,74.209
26.5,10,1415,4.84,2.895,110,0.613,15.26,2.483,2.895,12.503,76.853
26.5,10,1415,4.9,7.477,35,1.502,38.755,2.36,7.477,16.879,55.724
26.5,10,1415,4.9,5.617,50,1.389,56.855,2.408,5.617,15.208,63.118
26.5,10,1415,4.9,4.104,75,1.283,35.28,2.446,4.104,13.848,70.402
26.5,10,1415,4.9,3.448,90,0.875,25.21,2.463,3.448,13.259,74.005
26.5,10,1415,4.9,2.973,110,0.662,21.195,2.475,2.973,12.832,76.834
26.5,10,1415,5.99,7.093,35,2.817,59.56,2.351,7.093,17.547,59.596
26.5,10,1415,5.99,5.823,50,2.254,48.12,2.383,5.823,16.42,64.553
26.5,10,1415,5.99,3.968,75,1.545,56.33,2.43,3.968,14.774,73.14
26.5,10,1415,5.99,3.551,90,1.354,49.81,2.44,3.551,14.403,75.359
26.5,10,1415,5.99,2.465,110,1.315,45.2,2.468,2.465,13.439,81.819
26.5,10,3322,5.37,5.758,35,1.703,62.53,2.383,5.758,16.307,64.693
26.5,10,3322,5.37,4.036,50,1.405,43.015,2.427,4.036,14.778,72.688
26.5,10,3322,5.37,3.479,75,1.149,59.98,2.441,3.479,14.284,75.644
26.5,10,3322,5.37,3.01,90,0.904,50.275,2.453,3.01,13.867,78.295
26.5,10,3322,5.37,7.051,110,0.724,44.875,2.347,7.051,17.777,60.359
26.5,10,3322,5.93,5.606,35,2.152,68.7,2.383,5.606,16.499,66.043
26.5,10,3322,5.93,4.126,50,1.846,73.22,2.421,4.126,15.189,72.84
26.5,10,3322,5.93,3.517,75,1.385,66,2.436,3.517,14.65,75.998
26.5,10,3322,5.93,2.956,90,1.179,52.85,2.45,2.956,14.155,79.118
26.5,10,3322,5.93,7.161,110,0.892,52.19,2.348,7.161,17.553,59.207
26.5,10,3322,4.84,6.954,35,1.17,56.805,2.368,6.954,16.65,58.243
26.5,10,3322,4.84,5.577,50,0.986,41.27,2.403,5.577,15.417,63.823
26.5,10,3322,4.84,3.944,75,0.875,49.42,2.445,3.944,13.954,71.735
26.5,10,3322,4.84,3.361,90,0.65,41.86,2.459,3.361,13.432,75.006
26.5,10,3322,4.84,2.983,110,0.593,38.83,2.469,2.983,13.092,77.222
26.5,10,3322,4.9,7.177,35,1.3,64.9,2.358,7.177,17.03,57.88
26.5,10,3322,4.9,5.631,50,1.23,35.76,2.397,5.631,15.648,64.04
26.5,10,3322,4.9,4.032,75,1.117,51.47,2.438,4.032,14.219,71.667
26.5,10,3322,4.9,3.472,90,0.687,35.51,2.452,3.472,13.718,74.722
26.5,10,3322,4.9,3,110,0.575,42.8,2.464,3,13.296,77.436
26.5,10,3322,5.99,7.193,35,2.497,72.12,2.337,7.193,18.148,60.362
26.5,10,3322,5.99,5.843,50,2.199,73.69,2.371,5.843,16.957,65.599
26.5,10,3322,5.99,4.232,75,1.303,89.9,2.411,4.232,15.536,72.769
26.5,10,3322,5.99,3.589,90,1.111,64.64,2.428,3.589,14.969,76.048
26.5,10,3322,5.99,3.078,110,1.003,56.71,2.44,3.078,14.518,78.803
26.5,18,822,5.27,6.895,35,2.433,36.465,2.248,6.895,16.956,60.315
26.5,18,822,5.27,5.378,50,2.263,26.21,2.284,5.378,15.604,66.422
26.5,18,822,5.27,4.032,75,1.593,27.765,2.317,4.032,14.403,72.768
26.5,18,822,5.27,3.412,90,1.284,22.54,2.332,3.412,13.85,75.804
26.5,18,822,5.27,2.375,110,1.196,24.13,2.357,2.375,12.924,82.195
